package,version,license_metadata,repository,package_json_path,license_files
@alloc/quick-lru,5.2.0,MIT,sindresorhus/quick-lru,node_modules/.pnpm/@alloc+quick-lru@5.2.0/node_modules/@alloc/quick-lru/package.json,license
@babel/code-frame,7.29.0,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+code-frame@7.29.0/node_modules/@babel/code-frame/package.json,LICENSE
@babel/compat-data,7.29.3,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+compat-data@7.29.3/node_modules/@babel/compat-data/package.json,LICENSE
@babel/core,7.29.0,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+core@7.29.0/node_modules/@babel/core/package.json,LICENSE
@babel/generator,7.29.1,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+generator@7.29.1/node_modules/@babel/generator/package.json,LICENSE
@babel/helper-compilation-targets,7.28.6,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+helper-compilation-targets@7.28.6/node_modules/@babel/helper-compilation-targets/package.json,LICENSE
@babel/helper-globals,7.28.0,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+helper-globals@7.28.0/node_modules/@babel/helper-globals/package.json,LICENSE
@babel/helper-module-imports,7.28.6,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+helper-module-imports@7.28.6/node_modules/@babel/helper-module-imports/package.json,LICENSE
@babel/helper-module-transforms,7.28.6,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+helper-module-transforms@7.28.6_@babel+core@7.29.0/node_modules/@babel/helper-module-transforms/package.json,LICENSE
@babel/helper-string-parser,7.27.1,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+helper-string-parser@7.27.1/node_modules/@babel/helper-string-parser/package.json,LICENSE
@babel/helper-validator-identifier,7.28.5,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+helper-validator-identifier@7.28.5/node_modules/@babel/helper-validator-identifier/package.json,LICENSE
@babel/helper-validator-option,7.27.1,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+helper-validator-option@7.27.1/node_modules/@babel/helper-validator-option/package.json,LICENSE
@babel/helpers,7.29.2,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+helpers@7.29.2/node_modules/@babel/helpers/package.json,LICENSE
@babel/parser,7.29.3,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+parser@7.29.3/node_modules/@babel/parser/package.json,LICENSE
@babel/template,7.28.6,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+template@7.28.6/node_modules/@babel/template/package.json,LICENSE
@babel/traverse,7.29.0,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+traverse@7.29.0/node_modules/@babel/traverse/package.json,LICENSE
@babel/types,7.29.0,MIT,https://github.com/babel/babel.git,node_modules/.pnpm/@babel+types@7.29.0/node_modules/@babel/types/package.json,LICENSE
@eslint-community/eslint-utils,4.9.1,MIT,https://github.com/eslint-community/eslint-utils,node_modules/.pnpm/@eslint-community+eslint-ut_d70698fd99ed66e25f48da0e262802a0/node_modules/@eslint-community/eslint-utils/package.json,LICENSE
@eslint-community/regexpp,4.12.2,MIT,https://github.com/eslint-community/regexpp,node_modules/.pnpm/@eslint-community+regexpp@4.12.2/node_modules/@eslint-community/regexpp/package.json,LICENSE
@eslint/config-array,0.21.2,Apache-2.0,git+https://github.com/eslint/rewrite.git,node_modules/.pnpm/@eslint+config-array@0.21.2/node_modules/@eslint/config-array/package.json,LICENSE
@eslint/config-helpers,0.4.2,Apache-2.0,git+https://github.com/eslint/rewrite.git,node_modules/.pnpm/@eslint+config-helpers@0.4.2/node_modules/@eslint/config-helpers/package.json,LICENSE
@eslint/core,0.17.0,Apache-2.0,git+https://github.com/eslint/rewrite.git,node_modules/.pnpm/@eslint+core@0.17.0/node_modules/@eslint/core/package.json,LICENSE
@eslint/eslintrc,3.3.5,MIT,eslint/eslintrc,node_modules/.pnpm/@eslint+eslintrc@3.3.5/node_modules/@eslint/eslintrc/package.json,LICENSE
@eslint/js,9.39.4,MIT,https://github.com/eslint/eslint.git,node_modules/.pnpm/@eslint+js@9.39.4/node_modules/@eslint/js/package.json,LICENSE
@eslint/object-schema,2.1.7,Apache-2.0,git+https://github.com/eslint/rewrite.git,node_modules/.pnpm/@eslint+object-schema@2.1.7/node_modules/@eslint/object-schema/package.json,LICENSE
@eslint/plugin-kit,0.4.1,Apache-2.0,git+https://github.com/eslint/rewrite.git,node_modules/.pnpm/@eslint+plugin-kit@0.4.1/node_modules/@eslint/plugin-kit/package.json,LICENSE
@geoarrow/geoarrow-wasm,0.2.0-beta.5,MIT OR Apache-2.0,https://github.com/geoarrow/geoarrow-rs,node_modules/.pnpm/@geoarrow+geoarrow-wasm@0.2.0-beta.5/node_modules/@geoarrow/geoarrow-wasm/package.json,LICENSE_APACHE; LICENSE_MIT
@geoman-io/leaflet-geoman-free,2.19.3,MIT,git://github.com/geoman-io/leaflet-geoman.git,node_modules/.pnpm/@geoman-io+leaflet-geoman-free@2.19.3_leaflet@1.9.4/node_modules/@geoman-io/leaflet-geoman-free/package.json,LICENSE
@humanfs/core,0.19.2,Apache-2.0,git+https://github.com/humanwhocodes/humanfs.git,node_modules/.pnpm/@humanfs+core@0.19.2/node_modules/@humanfs/core/package.json,LICENSE
@humanfs/node,0.16.8,Apache-2.0,git+https://github.com/humanwhocodes/humanfs.git,node_modules/.pnpm/@humanfs+node@0.16.8/node_modules/@humanfs/node/package.json,LICENSE
@humanfs/types,0.15.0,Apache-2.0,git+https://github.com/humanwhocodes/humanfs.git,node_modules/.pnpm/@humanfs+types@0.15.0/node_modules/@humanfs/types/package.json,(none bundled at package root)
@humanwhocodes/module-importer,1.0.1,Apache-2.0,git+https://github.com/humanwhocodes/module-importer.git,node_modules/.pnpm/@humanwhocodes+module-importer@1.0.1/node_modules/@humanwhocodes/module-importer/package.json,LICENSE
@humanwhocodes/retry,0.4.3,Apache-2.0,git+https://github.com/humanwhocodes/retry.git,node_modules/.pnpm/@humanwhocodes+retry@0.4.3/node_modules/@humanwhocodes/retry/package.json,LICENSE
@img/colour,1.1.0,MIT,git+https://github.com/lovell/colour.git,node_modules/.pnpm/@img+colour@1.1.0/node_modules/@img/colour/package.json,LICENSE.md
@img/sharp-win32-x64,0.34.5,Apache-2.0 AND LGPL-3.0-or-later,git+https://github.com/lovell/sharp.git,node_modules/.pnpm/@img+sharp-win32-x64@0.34.5/node_modules/@img/sharp-win32-x64/package.json,LICENSE
@jridgewell/gen-mapping,0.3.13,MIT,git+https://github.com/jridgewell/sourcemaps.git,node_modules/.pnpm/@jridgewell+gen-mapping@0.3.13/node_modules/@jridgewell/gen-mapping/package.json,LICENSE
